bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
131,130.48828125,131.484375,130.986328125,0.005766100894296521,0.005769430423472443,666593.0,367938.0
132,131.484375,132.48046875,131.982421875,0.005785676086840987,0.005831242725352999,668856.0,371880.0
133,132.48046875,133.4765625,132.978515625,0.005842187237036741,0.005854810429494673,675389.0,373383.0
134,133.4765625,134.47265625,133.974609375,0.00585907224624876,0.005856880247822485,677341.0,373515.0
135,134.47265625,135.46875,134.970703125,0.005897504672441893,0.005848224643906181,681784.0,372963.0
136,135.46875,136.46484375,135.966796875,0.005953514116421308,0.005838753657012255,688259.0,372359.0
137,136.46484375,137.4609375,136.962890625,0.00599857252471301,0.005888115688042188,693468.0,375507.0
138,137.4609375,138.45703125,137.958984375,0.00606163180604273,0.005859577283825391,700758.0,373687.0
139,138.45703125,139.453125,138.955078125,0.006124526735336062,0.005867966320229779,708029.0,374222.0
140,139.453125,140.44921875,139.951171875,0.006133955352160395,0.005896159754725273,709119.0,376020.0
141,140.44921875,141.4453125,140.947265625,0.006158063200866284,0.005937822688793422,711906.0,378677.0
142,141.4453125,142.44140625,141.943359375,0.006185319688585069,0.005968462272221785,715057.0,380631.0
143,142.44140625,143.4375,142.939453125,0.006181859645713755,0.005973166404784993,714657.0,380931.0
144,143.4375,144.43359375,143.935546875,0.006202585302512932,0.005974107231297635,717053.0,380991.0
145,144.43359375,145.4296875,144.931640625,0.006170493404881484,0.005964902811915624,713343.0,380404.0
146,145.4296875,146.42578125,145.927734375,0.006189419839387578,0.005967505765267266,715531.0,380570.0
147,146.42578125,147.421875,146.923828125,0.00623164966263198,0.006025194110934077,720413.0,384249.0
148,147.421875,148.41796875,147.919921875,0.006280470867546237,0.006036672194388306,726057.0,384981.0
149,148.41796875,149.4140625,148.916015625,0.006299873057947137,0.006125078525692867,728300.0,390619.0
150,149.4140625,150.41015625,149.912109375,0.006353633474060197,0.006118633864081271,734515.0,390208.0
151,150.41015625,151.40625,150.908203125,0.006433941069103423,0.006175397063677318,743799.0,393828.0
152,151.40625,152.40234375,151.904296875,0.006489094152472187,0.006188521593528669,750175.0,394665.0
153,152.40234375,153.3984375,152.900390625,0.006776199859826743,0.006185338463827565,783366.0,394462.0
154,153.3984375,154.39453125,153.896484375,0.006544844093236253,0.006257437135579671,756620.0,399060.0
155,154.39453125,155.390625,154.892578125,0.006550207159686791,0.0062384010791405545,757240.0,397846.0
156,155.390625,156.38671875,155.888671875,0.00656744682329312,0.006287904234147383,759233.0,401003.0
157,156.38671875,157.3828125,156.884765625,0.006591796875,0.0062797660848130325,762048.0,400484.0
158,157.3828125,158.37890625,157.880859375,0.006595879725588152,0.006314341459152614,762520.0,402689.0
159,158.37890625,159.375,158.876953125,0.006627461266896081,0.006305670174794433,766171.0,402136.0
160,159.375,160.37109375,159.873046875,0.006642062647813031,0.006290068135126459,767859.0,401141.0
161,160.37109375,161.3671875,160.869140625,0.006638360401940724,0.006309888213659443,767431.0,402405.0
162,161.3671875,162.36328125,161.865234375,0.006670426349250638,0.006265716408890917,771138.0,399588.0
163,162.36328125,163.359375,162.861328125,0.0066685579261001274,0.006256057256694463,770922.0,398972.0
164,163.359375,164.35546875,163.857421875,0.006640713231093219,0.006307253899424046,767703.0,402237.0
165,164.35546875,165.3515625,164.853515625,0.006577420396869685,0.0062883589669618266,760386.0,401032.0
166,165.3515625,166.34765625,165.849609375,0.006558442061720521,0.006302863375698385,758192.0,401957.0
167,166.34765625,167.34375,166.845703125,0.0065131241502134705,0.0063522567676120726,752953.0,405107.0
168,167.34375,168.33984375,167.841796875,0.006523158274540285,0.006360881010644621,754113.0,405657.0
169,168.33984375,169.3359375,168.837890625,0.006473930514588648,0.006453615143907333,748422.0,411571.0
170,169.3359375,170.33203125,169.833984375,0.006475253980986926,0.006423837984782225,748575.0,409672.0
171,170.33203125,171.328125,170.830078125,0.006509214301768884,0.006715306038398611,752501.0,428260.0
172,171.328125,172.32421875,171.826171875,0.006524118436437075,0.006668029506138368,754224.0,425245.0
173,172.32421875,173.3203125,172.822265625,0.006537655854171096,0.006607989094189953,755789.0,421416.0
174,173.3203125,174.31640625,173.818359375,0.006579634824307327,0.006568082369612069,760642.0,418871.0
175,174.31640625,175.3125,174.814453125,0.006656664028729982,0.006570842127382484,769547.0,419047.0
176,175.3125,176.30859375,175.810546875,0.00665399114561189,0.006591163980055544,769238.0,420343.0
177,176.30859375,177.3046875,176.806640625,0.006629874646798824,0.006643364171065279,766450.0,423672.0
178,177.3046875,178.30078125,177.802734375,0.006626423254034687,0.006631995850704192,766051.0,422947.0
179,178.30078125,179.296875,178.798828125,0.006648904882591057,0.006641921570412562,768650.0,423580.0
